,Simulation,Consumption Min,Consumption Max,Resource Replenishment Rate,Longevity,Max Population,Avg Population,Total Resources
80,29,0.28548237549105887,0.37805172839033263,15,5,5,0.0064,50184178.86176352
81,26,0.356139422840088,0.4094971773012135,22,5,4,0.0068,72013578.36409383
82,71,0.22576650390907826,0.697706643329959,23,5,5,0.0088,75995196.00560838
83,70,0.16582282007869728,1.0732121885446064,21,5,4,0.0056,69041794.77186987
84,33,0.42253991601609725,1.2494567673665287,24,5,4,0.006,79232746.52003233
85,65,0.3476724070005868,0.9317489251613544,12,5,4,0.0052,41591842.38398473
86,63,0.29715913037704794,0.5091193103629252,28,5,6,0.01,90420710.2124971
87,20,0.27954065015418517,0.36913338044797006,19,5,5,0.0072,61741290.20619143
88,40,0.20436539835633466,1.3148580565225236,28,5,6,0.0084,92011369.6714616
89,76,0.24731285644423084,0.4191295134318158,12,5,5,0.0088,40072184.32695023
90,41,0.31885166331152154,0.9865429364760909,17,5,4,0.0048,56101983.979296155
91,52,0.16252755562236615,0.2830547691741123,11,5,4,0.0052,37104002.69123158
92,47,0.0729179397296595,0.5034149486902117,20,5,4,0.006,65566225.099475496
93,54,0.37956949485976443,1.2387939314585275,22,4,5,0.0068,71831736.46152028
94,46,0.3188710126014509,1.0240728862919812,21,4,4,0.0044,69160334.71483445
95,8,0.2384108574467183,0.6433598490184087,29,4,4,0.0048,94418144.36671467
96,55,0.18477405670344882,0.27624036545446307,10,4,4,0.0044,33742161.576928884
97,72,0.4657509707318599,1.6124540265863263,22,4,4,0.0048,72364559.9074867
98,12,0.1640533898263935,0.7559056564892674,13,4,4,0.0052,43000273.61268852
99,51,0.38503396624149744,0.7980452757083012,21,4,4,0.0048,68583819.87475
